;date;type;registration;operator;fatalities;location;country;cat;corrected_year
5022;1945-05-05;DOUGLAS C-47B (DC-3);43-48869;USAAF;0;NEAR CHANYI;CHINA;A1;1945
5023;1945-05-05;DOUGLAS R4D-5 (DC-3);17208;US NAVY;0;EMIRAU AIRPORT (...;P.N. GUINEA;A1;1945
5024;1945-05-05;DOUGLAS C-47A (DC-3);43-15496;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5025;1945-05-05;CONSOLIDATED C-87;44-39265;USAAF;4;NEAR GOLOGHAT;INDIA;A1;1945
5026;1945-05-06;CURTISS C-46D;44-77861;USAAF;4;LONG MAN HILL;U.K.;A1;1945
5027;1945-05-06;CURTISS C-46D;44-77839;USAAF;31;HINDHEAD;U.K.;A1;1945
5028;1945-05-06;DOUGLAS C-47B (DC-3);43-48943;USAAF;0;LANDAU EBENBERG ...;GERMANY;A1;1945
5029;1945-05-06;DOUGLAS C-53D SKYTROOPER (DC-3);42-68695;USAAF;4;JARNY;FRANCE;A1;1945
5030;1945-05-06;DOUGLAS C-47A (DC-3);42-23586;USAAF;0;MANILA;PHILIPPINES;A1;1945
5031;1945-05-06;DOUGLAS C-47A (DC-3);42-100901;USAAF;0;ORLÃ©ANS/BRICY A...;FRANCE;A1;1945
5032;1945-05-06;DOUGLAS C-47 (DC-3);41-7748;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;U1;1945
5033;1945-05-07;CURTISS C-46A;41-24715;USAAF;0;NEAR CHABUA AIRFIELD;INDIA;A1;1945
5034;1945-05-07;CURTISS C-46A;43-47161;USAAF;0;UNKNOWN;MYANMAR;A1;1945
5035;1945-05-07;DOUGLAS C-47A (DC-3);43-15850;USAAF;0;YWATAUNG;MYANMAR;A1;1945
5036;1945-05-08;DOUGLAS C-47A (DC-3);42-100818;USAAF;0;ERGOLDING ADVANC...;GERMANY;A1;1945
5037;1945-05-08;CURTISS C-46D;44-77389;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5038;1945-05-08;DOUGLAS C-47A (DC-3);43-15323;USAAF;0;ERGOLDING ADVANC...;GERMANY;A1;1945
5039;1945-05-08;DOUGLAS C-47A (DC-3);43-15650;USAAF;0;CHAM;GERMANY;A1;1945
5040;1945-05-08;DOUGLAS C-47A (DC-3);43-15351;USAAF;0;ERGOLDING ADVANC...;GERMANY;A1;1945
5041;1945-05-08;DOUGLAS C-47A (DC-3);42-24119;USAAF;0;HELMSTEDT-ADVANC...;GERMANY;A1;1945
5042;1945-05-08;JUNKERS JU-52/3MGE;7U+OK (2);GERMAN AF;0;SALTNESSAND, BUV...;NORWAY;A1;1945
5043;1945-05-08;CONSOLIDATED C-109;44-49251;USAAF;0;NEAR CHÃ¢TEAUDUN-ADVA...;FRANCE;A1;1945
5044;1945-05-08;CONSOLIDATED C-87;44-39204;USAAF;0;NEAR JORHAT;INDIA;A1;1945
5045;1945-05-09;CURTISS C-46A;42-60965;USAAF;0;NEAR MITU;CHINA;A1;1945
5046;1945-05-09;DOUGLAS C-47B (DC-3);43-48880;USAAF;0;ROSIÃ¨RES EN HAY...;FRANCE;A1;1945
5047;1945-05-09;DOUGLAS C-47A (DC-3);94;CNAC;2;NEAR PUTAO;MYANMAR;A1;1945
5048;1945-05-09;CONSOLIDATED C-109;43-51748;USAAF;0;HSINCHING AIRFIE...;CHINA;A1;1945
5049;1945-05-09;DOUGLAS DAKOTA IV (DC-3);KN233;RAF;0;COX'S BAZAR AIRP...;BANGLADESH;A1;1945
5050;1945-05-09;DOUGLAS DAKOTA IV (DC-3);KK179;RAF;0;COX'S BAZAR AIRP...;BANGLADESH;A1;1945
5051;1945-05-09;DOUGLAS C-47A (DC-3);42-100507;USAAF;0;ERGOLDING ADVANC...;GERMANY;A1;1945
5052;1945-05-09;DOUGLAS C-47 (DC-3);41-38673;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5053;1945-05-10;CURTISS C-46D;42-101090;USAAF;0;UNKNOWN;U.K.;A1;1945
5054;1945-05-10;CURTISS C-46D;44-77406;USAAF;4;NEAR DUNGENESS;U.K.;A1;1945
5055;1945-05-10;DOUGLAS C-47A (DC-3);A65-39;RAAF;7;BETWEEN TADJI AN...;P.N. GUINEA;A1;1945
5056;1945-05-10;DOUGLAS C-54B (DC-4);43-17176;USAAF;0;GEORGETOWN-WIDEA...;ST. HELENA;A1;1945
5057;1945-05-11;DOUGLAS C-47A (DC-3);42-101023;USAAF;0;MERSEBURG;GERMANY;A1;1945
5058;1945-05-11;DOUGLAS C-47A (DC-3);42-93664;USAAF;0;SORIDO AIRSTRIP;INDONESIA;A1;1945
5059;1945-05-11;DOUGLAS C-47A (DC-3);6807;SOUTH AFRICAN AF;1;NEAR KISUMU;KENYA;A1;1945
5060;1945-05-11;DOUGLAS C-47A (DC-3);42-23306;USAAF;0;SEDALIA ARMY AIR...;USA;O1;1945
5061;1945-05-12;CURTISS C-46A;42-107357;USAAF;0;MARRAKECH;MOROCCO;A1;1945
5062;1945-05-12;DOUGLAS C-47B (DC-3);43-16383;USAAF;3;NEAR CORDELIA, CA;USA;A1;1945
5063;1945-05-12;CONSOLIDATED C-109;44-49238;USAAF;0;NIVELLES B-75 AD...;BELGIUM;A1;1945
5064;1945-05-12;CONSOLIDATED C-109;42-51411;USAAF;0;NEAR JORHAT (JRH);INDIA;A1;1945
5065;1945-05-12;DOUGLAS C-47A (DC-3);42-93493;USAAF;0;FL. BLANC;UNKNOWN COUNTRY;A1;1945
5066;1945-05-13;LOCKHEED 18 LODESTAR;ZK-AHU;UNION AIRWAYS;0;AUCKLAND-MANGERE...;NEW ZEALAND;A1;1945
5067;1945-05-13;DOUGLAS C-47B (DC-3);43-49788;USAAF;20;IRIAN JAYA;P.N. GUINEA;A1;1945
5068;1945-05-13;DOUGLAS C-47B (DC-3);44-76234;USAAF;0;NEAR LEDO;INDIA;A1;1945
5069;1945-05-13;DOUGLAS C-47A (DC-3);43-15366;USAAF;0;LEDO AIRFIELD;INDIA;A1;1945
5070;1945-05-13;DOUGLAS C-47B (DC-3);43-16234;USAAF;0;LEDO;INDIA;A1;1945
5071;1945-05-13;CONSOLIDATED C-109;44-48995;USAAF;0;NEAR SILCHAR;INDIA;A1;1945
5072;1945-05-13;DOUGLAS C-47A (DC-3);42-23952;USAAF;21;HIDDEN VALLEY, P...;INDONESIA;A1;1945
5073;1945-05-13;DOUGLAS C-47A (DC-3);42-100617;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5074;1945-05-14;CURTISS C-46D;44-77919;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5075;1945-05-14;CONSOLIDATED PBY-5 CATALINA;2426;US NAVY;6;NEAR DAYTONA BEACH, FL;USA;A1;1945
5076;1945-05-14;DOUGLAS C-47A (DC-3);42-100951;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5077;1945-05-14;DOUGLAS C-47A (DC-3);42-100582;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5078;1945-05-15;DOUGLAS C-47 (DC-3);42-5700;USAAF;0;ANGERS-ARVILLE A...;FRANCE;A1;1945
5079;1945-05-15;DOUGLAS C-47A (DC-3);42-100824;USAAF;0;RISSTISSEN-ADVAN...;GERMANY;A1;1945
5080;1945-05-15;DOUGLAS C-47B (DC-3);44-76649;USAAF;0;WITHIN KACHIN STATE;MYANMAR;A1;1945
5081;1945-05-15;CURTISS C-46A;42-107341;USAAF;0;NEAR JOAL;SENEGAL;A1;1945
5082;1945-05-16;CURTISS C-46D;44-77477;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;U1;1945
5083;1945-05-16;SHORT SUNDERLAND V;PP116;RAAF;1;PEMBROKE DOCK RA...;U.K.;A1;1945
5084;1945-05-16;CURTISS C-46A;42-96552;USAAF;0;NEAR SOOKERATING;INDIA;A1;1945
5085;1945-05-16;JUNKERS JU-52/3M;22-95;SPANISH AF;12;LEÃ³N;SPAIN;A1;1945
5086;1945-05-17;CURTISS C-46D;44-77910;USAAF;0;KALAYWA;MYANMAR;A1;1945
5087;1945-05-17;DOUGLAS C-47A (DC-3);43-15785;USAAF;0;MYITKYINA NORTH;MYANMAR;A1;1945
5088;1945-05-17;DOUGLAS R4D-5 (DC-3);17133;US NAVY;4;NEAR MANUS ISLAND-MOM...;P.N. GUINEA;A1;1945
5089;1945-05-18;CURTISS C-46D;44-77369;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5090;1945-05-18;DOUGLAS C-47A (DC-3);43-15081;USAAF;0;BEAUVAIS-TILLÃ© ...;FRANCE;A1;1945
5091;1945-05-18;DOUGLAS C-53D SKYTROOPER (DC-3);42-68843;USAAF;0;PARIS-LE BOURGET...;FRANCE;A1;1945
5092;1945-05-18;CONSOLIDATED PBY-5A CATALINA;05041;US NAVY;0;PEARL HARBOR NAS...;USA;A1;1945
5093;1945-05-18;DOUGLAS C-47A (DC-3);42-100466;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5094;1945-05-18;DOUGLAS DAKOTA IV (DC-3);KK217;RAF;0;BEIRUT;LEBANON;A1;1945
5095;1945-05-19;DOUGLAS C-47A (DC-3);42-93338;USAAF;0;NEAR MABEIN;MYANMAR;A1;1945
5096;1945-05-19;CONSOLIDATED PBY-5A CATALINA;08030;US NAVY;0;NEAR OCEAN VIEW, VA [...;USA;A1;1945
5097;1945-05-19;CONSOLIDATED C-109;44-49011;USAAF;0;KWANGHAN;CHINA;A1;1945
5098;1945-05-20;CURTISS C-46A;41-24681;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5099;1945-05-20;DOUGLAS DAKOTA IV (DC-3);KK180;RAF;0;YAPING;CHINA;A1;1945
5100;1945-05-20;DOUGLAS C-47B (DC-3);43-16170;USAAF;0;KHARAGPUR;INDIA;A1;1945
5101;1945-05-21;CURTISS C-46A;43-47261;USAAF;0;UNKNOWN;CHINA;A1;1945
5102;1945-05-21;DOUGLAS C-47A (DC-3);42-24027;USAAF;0;NICE ADVANCED LA...;FRANCE;A1;1945
5103;1945-05-22;DOUGLAS C-47B (DC-3);43-16356;USAAF;0;NEAR NANHUA;CHINA;A1;1945
5104;1945-05-22;DOUGLAS DAKOTA III (DC-3);FL594;RAF;6;NEAR PEGU;MYANMAR;A1;1945
5105;1945-05-23;CURTISS C-46D;42-101177;USAAF;0;CHITTAGONG AIRFI...;BANGLADESH;A1;1945
5106;1945-05-23;DOUGLAS C-47A (DC-3);42-100998;USAAF;4;KNOLLWOOD AIRPOR...;USA;A1;1945
5107;1945-05-23;CURTISS C-46D;44-77507;USAAF;44;TAILLEFONTAINE;FRANCE;A1;1945
5108;1945-05-24;DOUGLAS C-54B (DC-4);42-72385;USAAF;0;OKINAWA-YONTAN F...;JAPAN;C1;1945
5109;1945-05-24;CURTISS C-46A;42-60966;USAAF;0;KUNMING AIRPORT ...;CHINA;A1;1945
5110;1945-05-24;CURTISS C-46D;42-101181;PRIVATE;0;NEAR COX'S BAZAAR;INDIA;A1;1945
5111;1945-05-24;CONSOLIDATED PBY-5A CATALINA;48384;US NAVY;0;NEAR ATTU, AK;USA;A1;1945
5112;1945-05-24;DOUGLAS C-47B (DC-3);43-49402;USAAF;0;OKINAWA-YONTAN F...;JAPAN;C1;1945
5113;1945-05-24;CURTISS R5C-1 (C-46A);39580;US NAVY;0;SAIPAN;NORTHERN MARIANA ISL;U1;1945
5114;1945-05-24;CURTISS R5C-1 (C-46A);39608;US NAVY;0;OKINAWA;JAPAN;U1;1945
5115;1945-05-24;DOUGLAS R4D-5 (DC-3);17162;US NAVY;0;NEAR OKINAWA;JAPAN;A1;1945
5116;1945-05-25;DOUGLAS C-47A (DC-3);42-100464;USAAF;0;TACLOBAN;PHILIPPINES;A1;1945
5117;1945-05-25;DOUGLAS C-47A (DC-3);43-15243;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5118;1945-05-25;DOUGLAS DAKOTA IV (DC-3);KJ982;RAF;0;ALON AIRSTRIP;MYANMAR;A1;1945
5119;1945-05-25;DOUGLAS DAKOTA III (DC-3);KG500;RAF;0;NEAR KIEL;GERMANY;A1;1945
5120;1945-05-25;DOUGLAS DAKOTA III (DC-3);KG590;RAF;0;HANNOVER;GERMANY;A1;1945
5121;1945-05-26;CURTISS C-46A;41-24749;USAAF;0;NEAR MYITKYINA SOUTH;MYANMAR;A1;1945
5122;1945-05-26;CURTISS C-46D;44-78157;USAAF;0;NEAR KUNMING;CHINA;A1;1945
5123;1945-05-26;CONSOLIDATED C-87;43-30605;USAAF;0;BARRACKPORE;INDIA;A1;1945
5124;1945-05-26;DOUGLAS DAKOTA III (DC-3);KG724;RAF;0;YANGON-MINGALADO...;MYANMAR;A1;1945
5125;1945-05-26;DOUGLAS C-47A (DC-3);42-93821;USAAF;0;MANNHEIM ADVANCE...;GERMANY;A1;1945
5126;1945-05-27;DOUGLAS C-47 (DC-3);42-32836;USAAF;0;UNKNOWN;INDIA;A1;1945
5127;1945-05-27;CURTISS C-46D;44-77330;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5128;1945-05-27;DOUGLAS C-47A (DC-3);42-92981;USAAF;4;HUKAWNG VALLEY;MYANMAR;A1;1945
5129;1945-05-27;DOUGLAS C-47B (DC-3);43-49116;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5130;1945-05-29;CURTISS C-46A;43-47139;USAAF;0;CHABUA AIRFIELD;INDIA;A1;1945
5131;1945-05-29;CURTISS C-46D;44-77366;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5132;1945-05-29;DOUGLAS C-47 (DC-3);41-7812;USAAF;0;MINGALADON;MYANMAR;A1;1945
5133;1945-05-29;CURTISS C-46D;44-77462;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;U1;1945
5134;1945-05-29;CURTISS C-46D;44-77939;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5135;1945-05-29;DOUGLAS R4D-6 (DC-3);50818;US NAVY;0;WINSLOW AIRPORT,...;USA;A1;1945
5136;1945-05-29;DOUGLAS C-47B (DC-3);43-16248;USAAF;0;NEAR MAYAGUANA ISLAND;BAHAMAS;A1;1945
5137;1945-05-30;CURTISS C-46A;41-24747;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;U1;1945
5138;1945-05-30;DOUGLAS C-47B (DC-3);44-76669;USAAF;0;MEIKTILA;MYANMAR;A1;1945
5139;1945-05-30;DOUGLAS R4D-5 (DC-3);17240;US NAVY;0;VENEZIA-LIDO AIR...;ITALY;A1;1945
5140;1945-05-30;DOUGLAS C-47B (DC-3);44-76406;USAAF;21;NEAR DREWIN;COTE D'IVOIRE;A1;1945
5141;1945-05-30;CONSOLIDATED C-109;42-52023;USAAF;2;NEAR TURA;INDIA;A1;1945
5142;1945-05-31;CURTISS C-46A;42-61037;USAAF;0;CHANYI;CHINA;A1;1945
5143;1945-05-31;CURTISS C-46D;44-77857;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5144;1945-05-31;CURTISS C-46A;42-96726;USAAF;0;NEAR KUNMING;CHINA;A1;1945
5145;1945-05-31;CURTISS C-46A;42-61065;USAAF;0;NEAR SOOKERATING;INDIA;A1;1945
5148;1945-06-01;DOUGLAS C-47B (DC-3);A65-62;RAAF;0;LONGREACH AIRPOR...;AUSTRALIA;A1;1945
5149;1945-06-02;CONSOLIDATED PBY-5A CATALINA;46468;US NAVY;8;NEAR IWO JIMA;PACIFIC OCEAN;A1;1945
5150;1945-06-02;DOUGLAS DAKOTA IV (DC-3);KN283;RAF;5;NEAR KARIN;INDIA;A1;1945
5151;1945-06-02;DOUGLAS C-47A (DC-3);42-23470;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5152;1945-06-03;DOUGLAS DC-3A;YS-22;AEROVIAS BRASIL, LSF TACA;0;NEAR IPIABAS, RJ;BRAZIL;A1;1945
5153;1945-06-03;CURTISS C-46D;44-77381;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5154;1945-06-03;CURTISS C-46D;44-78141;USAAF;0;SHINGBWIYANG;MYANMAR;A1;1945
5155;1945-06-03;DOUGLAS C-47B (DC-3);43-16148;USAAF;0;BOGOTÃ¡-TECHO AI...;COLOMBIA;A1;1945
5156;1945-06-03;MARTIN PBM-5 MARINER;59062;US NAVY;1;TANAHMERA;INDONESIA;C1;1945
5157;1945-06-04;DOUGLAS DC-3-228F;NC33611;PAN AM;0;PORT OF SPAIN-PI...;TRINIDAD & TOBAGO;A1;1945
5158;1945-06-04;DOUGLAS DAKOTA III (DC-3);FD889;RAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5159;1945-06-04;DOUGLAS C-47A (DC-3);43-15640;USAAF;0;MELUN/VILLAROCHE...;FRANCE;A1;1945
5160;1945-06-05;CURTISS C-46D;42-101087;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5161;1945-06-05;CURTISS C-46D;44-77656;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5162;1945-06-05;DOUGLAS C-47 (DC-3);41-38746;USAAF;7;NEAR SAKDEN;BHUTAN;A1;1945
5163;1945-06-05;CURTISS C-46A;42-96740;USAAF;0;KUNMING;CHINA;A1;1945
5164;1945-06-05;DOUGLAS DAKOTA III (DC-3);KG715;RAF;4;NEAR KYAUKPYU;MYANMAR;A1;1945
5165;1945-06-06;CONSOLIDATED C-87;43-30610;USAAF;0;NEAR HTAWGAW;MYANMAR;A1;1945
5166;1945-06-07;DOUGLAS R4D-6 (DC-3);17277;US NAVY;4;BETWEEN MOMOTE A...;P.N. GUINEA;A1;1945
5167;1945-06-07;DOUGLAS C-47A (DC-3);43-15328;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5168;1945-06-07;CONSOLIDATED C-109;44-49723;USAAF;0;HSINCHING AIRFIE...;CHINA;A1;1945
5169;1945-06-07;DOUGLAS DAKOTA IV (DC-3);KN254;RAF;24;NEAR DHAKA;BANGLADESH;A1;1945
5170;1945-06-08;DOUGLAS C-47B (DC-3);43-49762;USAAF;8;BETWEEN TACLOBAN...;PACIFIC OCEAN;A1;1945
5171;1945-06-08;DOUGLAS C-47 (DC-3);41-38605;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1945
5172;1945-06-08;DOUGLAS DAKOTA IV (DC-3);KK167;RAF;0;NEAR KYAUKPYU;MYANMAR;A1;1945
5173;1945-06-09;CURTISS C-46D;44-78243;USAAF;0;NEAR YUNNANYI;CHINA;A1;1945
5174;1946-01-01;BUDD RB-1 CONESTOGA;NC45347;NATIONAL SKYWAY FREIGHT;0;BLUEFIELD, VA;USA;A1;1946
5175;1946-01-02;DOUGLAS C-47B (DC-3);43-49118;USAAF;0;NEAR CANTON;CHINA;A1;1946
5176;1946-01-04;DOUGLAS DAKOTA IV (DC-3);KN363;RAF;3;NEAR HAINAN ISLAND, S...;PACIFIC OCEAN;A1;1946
5177;1946-01-05;DOUGLAS C-47A (DC-3);43-47994;USAAF;8;NEAR GUMAB, MASBATE I...;PHILIPPINES;A1;1946
5178;1946-01-06;DOUGLAS DC-3-392;NC21786;PENNSYLVANIA-CENTRAL AIRLINES;3;BIRMINGHAM AIRPO...;USA;A1;1946
5179;1946-01-07;CURTISS R5C-1 (C-46);39579;USMC;0;TINIAN ISLAND IN...;NORTHERN MARIANA ISL;A1;1946
5180;1946-01-09;DOUGLAS C-47 (DC-3);UNREG.;CHINA AIR FORCE;18;CHANGCHUN;CHINA;A1;1946
5181;1946-01-09;DOUGLAS DAKOTA III (DC-3);FD919;RAF;0;SEMARANG AIRPORT...;INDONESIA;A1;1946
5182;1946-01-11;DOUGLAS C-47B (DC-3);44-77138;USAAF;0;NEAR SAN JOSE;PHILIPPINES;A1;1946
5183;1946-01-12;DOUGLAS C-47A (DC-3);42-93447;USAAF;0;MANILA-NICHOLS A...;PHILIPPINES;A1;1946
5184;1946-01-13;AMIOT AAC.1 (JU-52);F-BANP;AIR FRANCE;2;LE BOUSCAT, BORD...;FRANCE;A1;1946
5185;1946-01-13;CURTISS C-46D;44-78146;USAAF;12;NEAR MAJURO;MARSHALL ISL.;A1;1946
5186;1946-01-14;DOUGLAS DAKOTA IV (DC-3);KJ817;RAF;5;MOUNT BONGKOK;INDONESIA;A1;1946
5187;1946-01-14;DOUGLAS DAKOTA IV (DC-3);KK154;RAF;0;NEAR BLAKEHILL FARM;U.K.;A1;1946
5188;1946-01-14;LISUNOV LI-2;CCCP-L4150;AEROFLOT, UKRAINE;22;NETRUBEZH, KOLPN...;RUSSIA;A1;1946
5189;1946-01-15;DOUGLAS DAKOTA IV (DC-3);KN557;RAF;25;NEAR MARSEILLE;FRANCE;A1;1946
5190;1946-01-16;DOUGLAS DAKOTA IV (DC-3);KK199;RAF;0;NEAR YELVERTOFT, QLD;AUSTRALIA;A1;1946
5191;1946-01-16;DOUGLAS DAKOTA III (DC-3);NL205;NETHERLANDS AF;0;KATWIJK;NETHERLANDS;A1;1946
5192;1946-01-16;DOUGLAS C-54A (DC-4);42-72193;USAAF;0;NEAR LULA, GA;USA;A1;1946
5193;1946-01-17;DOUGLAS DAKOTA III (DC-3);FD882;RAF;0;BUTTERWORTH AIRP...;MALAYSIA;A1;1946
5194;1946-01-17;DOUGLAS C-47A (DC-3);43-15469;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1946
5195;1946-01-18;DOUGLAS DC-3-201E;NC19970;EASTERN AIR LINES;17;CHESHIRE, CT;USA;A1;1946
5196;1946-01-18;CONSOLIDATED PBY-6A CATALINA;64029;US NAVY;0;NEAR WAKE ISLAND;U.S. M.O. ISLANDS;A1;1946
5197;1946-01-19;DOUGLAS DAKOTA III (DC-3);FL636;RCAF;7;MOUNT PTOLEMY, N...;CANADA;A1;1946
5198;1946-01-19;SHORT SUNDERLAND GR.5;PP157;RAF;0;JESSELTON;MALAYSIA;A1;1946
5199;1946-01-23;DOUGLAS C-47A (DC-3);G-AGIY;BOAC;0;EL ADEM RAF STATION;LIBYA;A1;1946
5200;1946-01-23;CURTISS C-46D;42-101210;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1946
5201;1946-01-24;DOUGLAS DAKOTA IV (DC-3);KN659;RAF;0;VADODARA;INDIA;A1;1946
5202;1946-01-25;DOUGLAS DAKOTA IV (DC-3);KK112;RAF;0;HMAWBI RAF STATION;MYANMAR;A1;1946
5203;1946-01-26;DOUGLAS C-47A (DC-3);CA5;CENTRAL AIR TRANSPORT;0;NEAR WUHAN;CHINA;A1;1946
5204;1946-01-26;DOUGLAS C-47 (DC-3);UNREG.;USAAF;4;NEAR NANKING (NANJING);CHINA;A1;1946
5205;1946-01-27;LISUNOV LI-2;CCCP-L4131;AEROFLOT, UZBEKISTAN;0;NEAR GERELDE;TURKMENISTAN;A1;1946
5206;1946-01-28;DOUGLAS DAKOTA IV (DC-3);KP236;RAF;0;POONA RAF STATIO...;INDIA;A1;1946
5207;1946-01-28;DOUGLAS C-47B (DC-3);43-16421;USAAF;0;NEAR TAIWAN;PACIFIC OCEAN;A1;1946
5208;1946-01-29;DOUGLAS DAKOTA IV (DC-3);KN496;RAF;0;TAKORADI AIRPORT...;GHANA;A1;1946
5209;1946-01-29;CURTISS C-46D;44-78226;USAAF;12;NEAR LO-TIEN-CHEN;CHINA;A1;1946
5210;1946-01-29;DOUGLAS C-47A (DC-3);42-93339;USAAF;2;BARRACKPORE AIR ...;INDIA;A1;1946
5211;1946-01-29;DOUGLAS R4D-6 (DC-3);50805;US NAVY;0;NEAR PEARL HARBOR NAS...;USA;A1;1946
5212;1946-01-30;DOUGLAS DAKOTA IV (DC-3);KN500;RAF;11;NEAR LE MANS;FRANCE;A1;1946
5213;1946-01-30;DOUGLAS DAKOTA III (DC-3);KG427;RAF;0;KÃ¸BENHAVN-KASTR...;DENMARK;A1;1946
5214;1946-01-30;DOUGLAS DAKOTA IV (DC-3);KN326;RAF;0;SEMARANG AIRPORT...;INDONESIA;A1;1946
5215;1946-01-30;BOEING B-17G;OY-DFE;DDL;0;KÃ¸BENHAVN-KASTR...;DENMARK;A1;1946
5216;1946-01-31;DOUGLAS DC-3-194H;NC25675;UNITED AIRLINES;21;ELK MOUNTAIN, WY;USA;A1;1946
5217;1946-01-31;DOUGLAS C-47A (DC-3);42-93585;USAAF;0;LIPA-FERNANDO AI...;PHILIPPINES;A1;1946
5218;1946-01-31;CURTISS C-46D;44-78082;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1946
5219;1946-01-31;DOUGLAS C-47B (DC-3);43-16243;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1946
5220;1946-01-31;DOUGLAS C-47B (DC-3);44-76436;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1946
5221;1946-01-31;DOUGLAS C-47A (DC-3);CCCP-L854;AEROFLOT, MOSCOW;3;SOLNTSEVO DISTRI...;RUSSIA;A1;1946
5222;1946-02-01;DOUGLAS C-54G (DC-4);45-485;USAAF;0;FUJISAWA AIR BASE;JAPAN;A1;1946
5223;1946-02-02;AMIOT AAC.1 (JU-52);F-BALK;AIR FRANCE;0;BELO AIRPORT (BMD);MADAGASCAR;A1;1946
5224;1946-02-02;DOUGLAS DAKOTA IV (DC-3);KJ996;RAF;5;NEAR PEGU;MYANMAR;A1;1946
5225;1946-02-02;DOUGLAS C-47A (DC-3);43-15755;USAAF;0;NEAR AURORA-LOWRY AFB...;USA;A1;1946
5226;1946-02-02;DOUGLAS C-47A (DC-3);42-92879;USAAF;5;NEAR AIX-EN-PROVENCE;FRANCE;A1;1946
5227;1946-02-03;DOUGLAS DAKOTA III (DC-3);KG502;RAF;6;NEAR CARLISLE;U.K.;A1;1946
5228;1946-02-03;DOUGLAS R5D-2 (C-54B);90395;US NAVY;0;UNKNOWN;CHINA;A1;1946
5229;1946-02-04;AMIOT AAC.1 (JU-52);F-BAKO;AIR FRANCE;0;MENORCA-MAHÃ³N A...;SPAIN;A1;1946
5230;1946-02-05;DOUGLAS DC-3A-414A;PP-CBS;CRUZEIRO DO SUL;0;ILHÃ©US AIRPORT,...;BRAZIL;A1;1946
5231;1946-02-05;DOUGLAS C-47A (DC-3);42-23619;USAAF;24;NEGROS ISLAND;PHILIPPINES;A1;1946
5232;1946-02-07;DOUGLAS DAKOTA IV (DC-3);KP219;RAF;0;DHORRO NARO;INDIA;A1;1946
5233;1946-02-07;JUNKERS JU-52/3M;T.2-5;SPANISH AF;10;NEAR HUERTA;SPAIN;A1;1946
5234;1946-02-09;DOUGLAS C-47A (DC-3);42-93598;USAAF;0;NEAR DUMOG;PHILIPPINES;A1;1946
5235;1946-02-11;DOUGLAS DAKOTA IV (DC-3);KN205;RAF;0;NEAR SAIGON;VIETNAM;A1;1946
5236;1946-02-12;LOCKHEED 18 LODESTAR;YV-AFI;LAV;0;NEAR BARQUISIMETO;VENEZUELA;A1;1946
5237;1946-02-12;DOUGLAS DAKOTA IV (DC-3);KN229;RAF;5;VICTORIA POINT;MYANMAR;A1;1946
5238;1946-02-12;DOUGLAS DAKOTA IV (DC-3);KN206;RAF;0;VICTORIA POINT A...;MYANMAR;O1;1946
5239;1946-02-13;DOUGLAS DAKOTA III (DC-3);KG397;RCAF;8;NEAR WARLINGHAM;U.K.;A1;1946
5240;1946-02-13;SHORT SUNDERLAND GR.5;VB885;RAF;10;LEE-ON-SOLENT;U.K.;A1;1946
5241;1946-02-15;CURTISS C-46D;44-78240;USAAF;0;UNKNOWN;UNKNOWN COUNTRY;A1;1946
