;date;type;registration;operator;fatalities;location;country;cat;corrected_year
12317;1972-11-28;HAWKER SIDDELEY HS-748;PI-C1027;PHILIPPINE AIR LINES;0;BISLIG AIRPORT (...;PHILIPPINES;A1;1972
12318;1972-11-28;DC-8-62;JA8040;JAL;61;MOSKVA-SHEREMETY...;RUSSIA;A1;1972
12319;1972-12-01;DOUGLAS C-47A (DC-3);CF-TQW;REINDEER AIR SERVICE;2;NEAR NORMAN WELLS, NT;CANADA;A1;1972
12320;1972-12-01;C-7A CARIBOU (DHC-4);UNREG.;VIETNAM AIR FORCE - VNAF;7;NEAR TUY HOA AIRPORT ...;VIETNAM;A1;1972
12321;1972-12-03;CONVAIR CV-990;EC-BZR;SPANTAX;155;TENERIFE-LOS ROD...;SPAIN;A1;1972
12322;1972-12-03;ANTONOV AN-2TP;CCCP-41306;AEROFLOT, EAST SIBERIA;0;YERBOGACHON, IRK...;RUSSIA;A1;1972
12323;1972-12-03;HOWARD SUPER VENTURA;N5033F;KARAN CORP.;5;TUCUMCARI AIRPOR...;USA;A1;1972
12324;1972-12-05;BOEING 707-366C;SU-AOW;EGYPTAIR;6;BENI SUEF;EGYPT;A1;1972
12325;1972-12-05;LOCKHEED C-130E-I HERCULES;64-0558;USAF;12;NEAR CONWAY, SC;USA;A1;1972
12326;1972-12-05;CURTISS C-46A;YV-C-TGE;LATIN CARGA;0;GALAPA;COLOMBIA;A1;1972
12327;1972-12-06;DOUGLAS C-47B (DC-3);CF-AUQ;SUPERIOR AIRWAYS;0;NEAR LAC RANDALL, QC;CANADA;A1;1972
12328;1972-12-08;BOEING 720-060B;UNREG.;ETHIOPIAN AIRLINES;6;ADDIS ABABA-HAIL...;ETHIOPIA;H2;1972
12329;1972-12-08;BOEING 737-222;N9031U;UNITED AIRLINES;45;NEAR CHICAGO-MIDWAY A...;USA;A1;1972
12330;1972-12-08;FOKKER F-27 FRIENDSHIP 600;AP-AUS;PIA;26;NEAR JALKOT;PAKISTAN;A1;1972
12331;1972-12-09;LOCKHEED C-130E HERCULES;64-0505;USAF;5;GUAM-AGANA NAS (...;GUAM;A1;1972
12332;1972-12-12;DH-125-3A;N521M;MARATHON OIL;0;FINDLAY, OH;USA;A1;1972
12333;1972-12-12;BOEING 707-331C;N788TW;TWA;0;NEW YORK-JOHN F....;USA;A2;1972
12334;1972-12-14;BAC ONE-ELEVEN;UNREG.;QUEBECAIR;0;MONTREAL;CANADA;H2;1972
12335;1972-12-15;LEARJET 23;N20M;ZANTOP;3;DETROIT-METROPOL...;USA;A1;1972
12336;1972-12-15;BOEING 747-151;N602US;NORTHWEST AIRLINES;0;MIAMI INTERNATIO...;USA;A2;1972
12337;1972-12-15;CURTISS C-46A;CC-CLA;LASA;0;ARICA-CHACALLUTA...;CHILE;A1;1972
12338;1972-12-19;SHORTS SC.7 SKYVAN 3M-400;T-703;INDONESIAN AF;0;UNKNOWN;UNKNOWN COUNTRY;U1;1972
12339;1972-12-20;CONVAIR CV-880;N8807E;DELTA AIR LINES;0;CHICAGO-O'HARE I...;USA;A1;1972
12340;1972-12-20;DC-9-31;N954N;NORTH CENTRAL AIRLINES;10;CHICAGO-O'HARE I...;USA;A1;1972
12341;1972-12-20;CURTISS C-46F;CF-IHV;NORDAIR;0;LAC RANDALL, QC;CANADA;U1;1972
12342;1972-12-21;DHC-6 TWIN OTTER 300;F-OGFE;AIR GUADELOUPE;13;NEAR SINT MAARTEN;SINT MAARTEN;A1;1972
12343;1972-12-21;LOCKHEED AC-130A SPECTRE;56-0490;USAF;14;NEAR PAKSE;LAOS;C1;1972
12344;1972-12-23;FOKKER F-28 FELLOWSHIP 1000;LN-SUY;BRAATHENS;40;NEAR OSLO-FORNEBU AIR...;NORWAY;A1;1972
12345;1972-12-24;DOUGLAS C-47 (DC-3);UNREG.;PHILIPPINE AF;0;TONQUIL ISLAND;PHILIPPINES;C1;1972
